Year,Unemployment_Rate,CPI_Index,Policy_Rate,Interest_Rate_5Y,Employment_Index
1968,,14.866998333333333,6.748333333333334,6.7250000000000005,
1969,,15.5451675,7.584166666666667,7.558333333333334,
1970,,16.065316666666664,7.9125000000000005,7.965833333333333,
1971,,16.499870833333333,6.947500000000001,6.945,
1972,,17.3228825,7.2316666666666665,7.2250000000000005,
1973,,18.619963333333335,7.560833333333334,7.528333333333333,
1974,,20.6676325,8.903333333333334,8.87,
1975,,22.873320000000003,9.035,8.993333333333334,
1976,7.141666666666667,24.598366666666667,9.175833333333333,9.229166666666666,9584475.0
1977,8.141666666666667,26.560442499999997,8.7,8.693333333333333,9759625.0
1978,8.466666666666667,28.943901666666665,9.270000000000001,9.235833333333334,10063716.666666666
1979,7.641666666666667,31.590729166666666,10.213333333333333,10.179166666666665,10502691.666666666
1980,7.625,34.79062416666667,12.484166666666667,12.338333333333333,10811733.333333334
1981,7.683333333333334,39.1295775,15.219166666666666,14.989166666666668,11137150.0
1982,11.141666666666666,43.343430000000005,14.255833333333333,14.435333333333332,10779850.0
1983,12.141666666666666,45.88490916666667,11.791666666666666,11.398583333333333,10860650.0
1984,11.483333333333334,47.86015583333333,12.750833333333333,12.710041666666667,11133558.333333334
1985,10.616666666666667,49.756386666666664,11.044166666666667,10.911833333333334,11485150.0
1986,9.691666666666666,51.843558333333334,9.52,9.145541666666666,11839291.666666666
1987,8.891666666666667,54.10192166666667,9.950000000000001,9.470708333333333,12161566.666666666
1988,7.833333333333333,56.28127666666666,10.224166666666667,9.830916666666667,12537266.666666666
1989,7.583333333333333,59.08612166666666,9.92,9.782253303713832,12811308.333333334
1990,8.225,61.910718333333335,10.851666666666667,10.727077608794714,12892591.666666666
1991,10.425,65.39373333333333,9.764166666666666,9.455925865800863,12663233.333333334
1992,11.283333333333333,66.36819,8.764999999999999,8.061232503607503,12540358.333333334
1993,11.441666666666668,67.60600333333333,7.845,7.245070314950749,12615450.0
1994,10.458333333333334,67.71793416666667,8.631666666666666,8.364867839889579,12864008.333333334
1995,9.541666666666666,69.17303166666666,8.280833333333332,8.16179189079418,13104433.333333334
1996,9.691666666666666,70.2594125,7.503333333333333,7.229915223665223,13222041.666666666
1997,9.183333333333334,71.39847333333333,6.424166666666667,6.14307250132908,13495458.333333334
1998,8.375,72.10955333333332,5.465,5.27905303030303,13829575.0
1999,7.641666666666667,73.36054499999999,5.690833333333334,5.541102068824895,14196525.0
2000,6.883333333333333,75.35554583333332,5.885833333333333,5.925411871658725,14556591.666666666
2001,7.258333333333333,77.25836249999999,5.7825,5.48027224310777,14726116.666666666
2002,7.758333333333333,79.00315833333333,5.661666666666666,5.2909071067821065,15045775.0
2003,7.658333333333334,81.182515,5.278333333333333,4.810544562162984,15381800.0
2004,7.233333333333333,82.69028333333334,5.0808333333333335,4.579606758579585,15637008.333333334
2005,6.833333333333333,84.52067583333333,4.385833333333333,4.066929292929293,15819341.666666666
2006,6.5,86.21279833333334,4.299166666666667,4.207759697332923,16098708.333333334
2007,6.208333333333333,88.05635666666666,4.335,4.26976742993848,16409025.0
2008,6.366666666666667,90.14353583333333,4.04,3.605302394243184,16580783.333333334
2009,8.575000000000001,90.41348666666666,3.890833333333333,3.2306188957241595,16313783.333333334
2010,8.25,92.02001833333334,3.6575,3.2351399665996348,16497841.666666666
2011,7.741666666666667,94.69976083333334,3.214166666666667,2.7830361208521954,16699025.0
2012,7.491666666666667,96.1351075,2.3316666666666666,1.8734101256930218,16863850.0
2013,7.3,97.03712916666666,2.7183333333333333,2.2619587605377083,17033183.333333332
2014,7.166666666666667,98.88727916666666,2.598333333333333,2.230830257461836,17065950.0
2015,7.075,100.00000583333333,2.0233333333333334,1.5216945963393333,17165808.333333332
2016,7.133333333333333,101.42875833333333,1.8041666666666665,1.2517575757575767,17248591.666666668
2017,6.483333333333333,103.04845,2.195,1.7836520298605534,17600958.333333332
2018,5.891666666666667,105.38583333333334,,2.2779121098200066,17900133.333333332
2019,5.783333333333334,107.44008333333333,,1.5888826137312968,18172650.0
2020,9.799999999999999,108.210425,,0.7531086618060302,17232741.666666668
2021,7.4750000000000005,111.88438333333333,,1.358811126548255,18093125.0
2022,5.283333333333333,119.49565833333332,,2.7705861586608163,18784233.333333332
2023,5.425,124.13089166666667,,3.3611924271592475,19305108.333333332
2024,6.491666666666667,127.087175,,3.3394688552188554,19647441.666666668
2025,6.966666666666666,128.46983333333333,,3.2347411900964533,19899175.0
